"ENSG00000033050","ABCF2"
"ENSG00000275176","ACACA"
"ENSG00000278540","ACACA"
"ENSG00000131473","ACLY"
"ENSG00000123983","ACSL3"
"ENSG00000138071","ACTR2"
"ENSG00000115091","ACTR3"
"ENSG00000148700","ADD3"
"ENSG00000006831","ADIPOR2"
"ENSG00000162433","AK4"
"ENSG00000149925","ALDOA"
"ENSG00000136950","ARPC5L"
"ENSG00000070669","ASNS"
"ENSG00000174437","ATP2A2"
"ENSG00000159199","ATP5G1"
"ENSG00000100554","ATP6V1D"
"ENSG00000087586","AURKA"
"ENSG00000060982","BCAT1"
"ENSG00000134107","BHLHE40"
"ENSG00000159388","BTG2"
"ENSG00000169679","BUB1"
"ENSG00000116161","CACYBP"
"ENSG00000179218","CALR"
"ENSG00000127022","CANX"
"ENSG00000162063","CCNF"
"ENSG00000113328","CCNG1"
"ENSG00000146731","CCT6A"
"ENSG00000010278","CD9"
"ENSG00000164045","CDC25A"
"ENSG00000124762","CDKN1A"
"ENSG00000126759","CFP"
"ENSG00000121022","COPS5"
"ENSG00000102879","CORO1A"
"ENSG00000116761","CTH"
"ENSG00000109861","CTSC"
"ENSG00000121966","CXCR4"
"ENSG00000103018","CYB5B"
"ENSG00000001630","CYP51A1"
"ENSG00000070190","DAPP1"
"ENSG00000175197","DDIT3"
"ENSG00000168209","DDIT4"
"ENSG00000123136","DDX39A"
"ENSG00000116133","DHCR24"
"ENSG00000172893","DHCR7"
"ENSG00000228716","DHFR"
"ENSG00000147155","EBP"
"ENSG00000134109","EDEM1"
"ENSG00000124802","EEF1E1"
"ENSG00000129521","EGLN3"
"ENSG00000125977","EIF2S2"
"ENSG00000012660","ELOVL5"
"ENSG00000170522","ELOVL6"
"ENSG00000074800","ENO1"
"ENSG00000136628","EPRS"
"ENSG00000120705","ETF1"
"ENSG00000149485","FADS1"
"ENSG00000134824","FADS2"
"ENSG00000135842","FAM129A"
"ENSG00000161513","FDXR"
"ENSG00000127951","FGL2"
"ENSG00000173486","FKBP2"
"ENSG00000160211","G6PD"
"ENSG00000111640","GAPDH"
"ENSG00000114480","GBE1"
"ENSG00000001084","GCLC"
"ENSG00000103365","GGA2"
"ENSG00000102393","GLA"
"ENSG00000173221","GLRX"
"ENSG00000163655","GMPS"
"ENSG00000120053","GOT1"
"ENSG00000105220","GPI"
"ENSG00000282019","GPI"
"ENSG00000082701","GSK3B"
"ENSG00000104687","GSR"
"ENSG00000110768","GTF2H1"
"ENSG00000159399","HK2"
