"ENSG00000004455","AK2"
"ENSG00000143401","ANP32E"
"ENSG00000111875","ASF1A"
"ENSG00000105011","ASF1B"
"ENSG00000156802","ATAD2"
"ENSG00000087586","AURKA"
"ENSG00000178999","AURKB"
"ENSG00000138376","BARD1"
"ENSG00000089685","BIRC5"
"ENSG00000012048","BRCA1"
"ENSG00000139618","BRCA2"
"ENSG00000100916","BRMS1L"
"ENSG00000156970","BUB1B"
"ENSG00000094916","CBX5"
"ENSG00000157456","CCNB2"
"ENSG00000105173","CCNE1"
"ENSG00000103540","CCP110"
"ENSG00000117399","CDC20"
"ENSG00000164045","CDC25A"
"ENSG00000101224","CDC25B"
"ENSG00000111665","CDCA3"
"ENSG00000134690","CDCA8"
"ENSG00000170312","CDK1"
"ENSG00000135446","CDK4"
"ENSG00000124762","CDKN1A"
"ENSG00000111276","CDKN1B"
"ENSG00000147889","CDKN2A"
"ENSG00000123080","CDKN2C"
"ENSG00000100526","CDKN3"
"ENSG00000138778","CENPE"
"ENSG00000100162","CENPM"
"ENSG00000149554","CHEK1"
"ENSG00000183765","CHEK2"
"ENSG00000122966","CIT"
"ENSG00000173207","CKS1B"
"ENSG00000123975","CKS2"
"ENSG00000124207","CSE1L"
"ENSG00000102974","CTCF"
"ENSG00000156136","DCK"
"ENSG00000118655","DCLRE1B"
"ENSG00000179958","DCTPP1"
"ENSG00000123136","DDX39A"
"ENSG00000124795","DEK"
"ENSG00000024526","DEPDC1"
"ENSG00000139734","DIAPH3"
"ENSG00000126787","DLGAP5"
"ENSG00000130816","DNMT1"
"ENSG00000159147","DONSON"
"ENSG00000136982","DSCC1"
"ENSG00000128951","DUT"
"ENSG00000129173","E2F8"
"ENSG00000074266","EED"
"ENSG00000134001","EIF2S1"
"ENSG00000135476","ESPL1"
"ENSG00000120699","EXOSC8"
"ENSG00000106462","EZH2"
"ENSG00000101003","GINS1"
"ENSG00000181938","GINS3"
"ENSG00000147536","GINS4"
"ENSG00000103342","GSPT1"
"ENSG00000188486","H2AFX"
"ENSG00000164032","H2AFZ"
"ENSG00000119969","HELLS"
"ENSG00000137309","HMGA1"
"ENSG00000164104","HMGB2"
"ENSG00000029993","HMGB3"
"ENSG00000072571","HMMR"
"ENSG00000189159","HN1"
"ENSG00000138668","HNRNPD"
"ENSG00000136273","HUS1"
"ENSG00000129351","ILF3"
"ENSG00000071243","ING3"
"ENSG00000205339","IPO7"
"ENSG00000186185","KIF18B"
"ENSG00000079616","KIF22"
"ENSG00000142945","KIF2C"
"ENSG00000090889","KIF4A"
"ENSG00000182481","KPNA2"
"ENSG00000143815","LBR"
"ENSG00000105486","LIG1"
"ENSG00000113368","LMNB1"
"ENSG00000108848","LUC7L3"
"ENSG00000145220","LYAR"
"ENSG00000164109","MAD2L1"
"ENSG00000073111","MCM2"
"ENSG00000112118","MCM3"
"ENSG00000104738","MCM4"
"ENSG00000100297","MCM5"
"ENSG00000076003","MCM6"
"ENSG00000166508","MCM7"
"ENSG00000165304","MELK"
"ENSG00000148773","MKI67"
"ENSG00000076242","MLH1"
"ENSG00000146263","MMS22L"
"ENSG00000020922","MRE11A"
"ENSG00000095002","MSH2"
"ENSG00000065911","MTHFD2"
"ENSG00000213347","MXD3"
"ENSG00000101057","MYBL2"
"ENSG00000136997","MYC"
"ENSG00000183011","NAA38"
"ENSG00000187109","NAP1L1"
"ENSG00000132780","NASP"
"ENSG00000104320","NBN"
"ENSG00000010292","NCAPD2"
"ENSG00000239672","NME1"
"ENSG00000166197","NOLC1"
"ENSG00000101361","NOP56"
"ENSG00000167005","NUDT21"
"ENSG00000111581","NUP107"
"ENSG00000124789","NUP153"
"ENSG00000155561","NUP205"
"ENSG00000115942","ORC2"
"ENSG00000091651","ORC6"
"ENSG00000170515","PA2G4"
"ENSG00000128050","PAICS"
"ENSG00000135473","PAN2"
"ENSG00000132646","PCNA"
"ENSG00000083642","PDS5B"
"ENSG00000100410","PHF5A"
"ENSG00000166851","PLK1"
"ENSG00000142731","PLK4"
"ENSG00000122512","PMS2"
"ENSG00000100941","PNN"
"ENSG00000014138","POLA2"
"ENSG00000062822","POLD1"
"ENSG00000106628","POLD2"
"ENSG00000077514","POLD3"
"ENSG00000177084","POLE"
"ENSG00000115350","POLE4"
"ENSG00000172336","POP7"
"ENSG00000170836","PPM1D"
"ENSG00000117751","PPP1R8"
"ENSG00000123131","PRDX4"
"ENSG00000146143","PRIM2"
"ENSG00000253729","PRKDC"
"ENSG00000147224","PRPS1"
"ENSG00000164985","PSIP1"
"ENSG00000131470","PSMC3IP"
"ENSG00000164611","PTTG1"
"ENSG00000161800","RACGAP1"
"ENSG00000113456","RAD1"
"ENSG00000164754","RAD21"
"ENSG00000113522","RAD50"
"ENSG00000111247","RAD51AP1"
"ENSG00000108384","RAD51C"
"ENSG00000132341","RAN"
"ENSG00000099901","RANBP1"
"ENSG00000102054","RBBP7"
"ENSG00000035928","RFC1"
"ENSG00000049541","RFC2"
"ENSG00000133119","RFC3"
"ENSG00000104889","RNASEH2A"
"ENSG00000132383","RPA1"
"ENSG00000117748","RPA2"
"ENSG00000106399","RPA3"
"ENSG00000171848","RRM2"
"ENSG00000176974","SHMT1"
"ENSG00000163950","SLBP"
"ENSG00000072501","SMC1A"
"ENSG00000108055","SMC3"
"ENSG00000113810","SMC4"
"ENSG00000163029","SMC6"
"ENSG00000125835","SNRPB"
"ENSG00000076382","SPAG5"
"ENSG00000161888","SPC24"
"ENSG00000152253","SPC25"
"ENSG00000277909","SPC25"
"ENSG00000136450","SRSF1"
"ENSG00000161547","SRSF2"
"ENSG00000149136","SSRP1"
"ENSG00000118007","STAG1"
"ENSG00000117632","STMN1"
"ENSG00000101945","SUV39H1"
"ENSG00000135316","SYNCRIP"
"ENSG00000013810","TACC3"
"ENSG00000136270","TBRG4"
"ENSG00000137310","TCF19"
"ENSG00000206455","TCF19"
"ENSG00000224379","TCF19"
"ENSG00000224472","TCF19"
"ENSG00000224941","TCF19"
"ENSG00000233890","TCF19"
"ENSG00000234674","TCF19"
"ENSG00000072274","TFRC"
"ENSG00000111602","TIMELESS"
"ENSG00000075131","TIPIN"
"ENSG00000167900","TK1"
"ENSG00000120802","TMPO"
"ENSG00000131747","TOP2A"
"ENSG00000141510","TP53"
"ENSG00000136527","TRA2B"
"ENSG00000071539","TRIP13"
"ENSG00000183311","TUBB"
"ENSG00000196230","TUBB"
"ENSG00000224156","TUBB"
"ENSG00000227739","TUBB"
"ENSG00000229684","TUBB"
"ENSG00000232421","TUBB"
"ENSG00000232575","TUBB"
"ENSG00000235067","TUBB"
"ENSG00000131462","TUBG1"
"ENSG00000108106","UBE2S"
"ENSG00000077152","UBE2T"
"ENSG00000012963","UBR7"
"ENSG00000278787","UBR7"
"ENSG00000076248","UNG"
"ENSG00000162607","USP1"
"ENSG00000161996","WDR90"
"ENSG00000166483","WEE1"
"ENSG00000082898","XPO1"
"ENSG00000196419","XRCC6"
"ENSG00000086827","ZW10"
