"ENSG00000148926","ADM"
"ENSG00000170425","ADORA2B"
"ENSG00000162433","AK4"
"ENSG00000131016","AKAP12"
"ENSG00000149925","ALDOA"
"ENSG00000136872","ALDOB"
"ENSG00000109107","ALDOC"
"ENSG00000133805","AMPD3"
"ENSG00000167772","ANGPTL4"
"ENSG00000163516","ANKZF1"
"ENSG00000182718","ANXA2"
"ENSG00000162772","ATF3"
"ENSG00000165240","ATP7A"
"ENSG00000176022","B3GALT6"
"ENSG00000167080","B4GALNT2"
"ENSG00000132692","BCAN"
"ENSG00000171791","BCL2"
"ENSG00000182492","BGN"
"ENSG00000134107","BHLHE40"
"ENSG00000104765","BNIP3L"
"ENSG00000102239","BRS3"
"ENSG00000133639","BTG1"
"ENSG00000074410","CA12"
"ENSG00000138794","CASP6"
"ENSG00000105974","CAV1"
"ENSG00000138764","CCNG2"
"ENSG00000124762","CDKN1A"
"ENSG00000111276","CDKN1B"
"ENSG00000129757","CDKN1C"
"ENSG00000273707","CDKN1C"
"ENSG00000175040","CHST2"
"ENSG00000122863","CHST3"
"ENSG00000164442","CITED2"
"ENSG00000130635","COL5A1"
"ENSG00000047457","CP"
"ENSG00000175183","CSRP2"
"ENSG00000118523","CTGF"
"ENSG00000121966","CXCR4"
"ENSG00000142871","CYR61"
"ENSG00000011465","DCN"
"ENSG00000175197","DDIT3"
"ENSG00000168209","DDIT4"
"ENSG00000151640","DPYSL4"
"ENSG00000134769","DTNA"
"ENSG00000120129","DUSP1"
"ENSG00000127129","EDN2"
"ENSG00000169242","EFNA1"
"ENSG00000143590","EFNA3"
"ENSG00000146648","EGFR"
"ENSG00000074800","ENO1"
"ENSG00000111674","ENO2"
"ENSG00000108515","ENO3"
"ENSG00000116285","ERRFI1"
"ENSG00000134954","ETS1"
"ENSG00000182197","EXT1"
"ENSG00000117525","F3"
"ENSG00000114023","FAM162A"
"ENSG00000165140","FBP1"
"ENSG00000170345","FOS"
"ENSG00000075426","FOSL2"
"ENSG00000118689","FOXO3"
"ENSG00000171298","GAA"
"ENSG00000108479","GALK1"
"ENSG00000111640","GAPDH"
"ENSG00000105679","GAPDHS"
"ENSG00000114480","GBE1"
"ENSG00000106633","GCK"
"ENSG00000111846","GCNT2"
"ENSG00000173221","GLRX"
"ENSG00000063660","GPC1"
"ENSG00000147257","GPC3"
"ENSG00000076716","GPC4"
"ENSG00000105220","GPI"
"ENSG00000282019","GPI"
"ENSG00000137106","GRHPR"
"ENSG00000104812","GYS1"
"ENSG00000105509","HAS1"
"ENSG00000115677","HDLBP"
"ENSG00000213614","HEXA"
"ENSG00000156515","HK1"
"ENSG00000159399","HK2"
"ENSG00000100292","HMOX1"
"ENSG00000170689","HOXB9"
"ENSG00000002587","HS3ST1"
"ENSG00000044574","HSPA5"
"ENSG00000010404","IDS"
"ENSG00000137331","IER3"
"ENSG00000206478","IER3"
"ENSG00000227231","IER3"
"ENSG00000230128","IER3"
"ENSG00000235030","IER3"
"ENSG00000237155","IER3"
"ENSG00000146678","IGFBP1"
"ENSG00000146674","IGFBP3"
"ENSG00000136244","IL6"
"ENSG00000105135","ILVBL"
"ENSG00000123999","INHA"
"ENSG00000185950","IRS2"
"ENSG00000172183","ISG20"
"ENSG00000070495","JMJD6"
"ENSG00000177606","JUN"
"ENSG00000100196","KDELR3"
"ENSG00000115548","KDM3A"
"ENSG00000155980","KIF5A"
"ENSG00000067082","KLF6"
"ENSG00000118263","KLF7"
"ENSG00000114796","KLHL24"
"ENSG00000167531","LALBA"
"ENSG00000134333","LDHA"
"ENSG00000166796","LDHC"
"ENSG00000113083","LOX"
"ENSG00000079257","LXN"
"ENSG00000185022","MAFF"
"ENSG00000095015","MAP3K1"
"ENSG00000240972","MIF"
"ENSG00000276701","MIF"
"ENSG00000169715","MT1E"
"ENSG00000125148","MT2A"
"ENSG00000119950","MXI1"
"ENSG00000100345","MYH9"
"ENSG00000124357","NAGK"
"ENSG00000130287","NCAN"
"ENSG00000104419","NDRG1"
"ENSG00000070614","NDST1"
"ENSG00000166507","NDST2"
"ENSG00000049759","NEDD4L"
"ENSG00000165030","NFIL3"
"ENSG00000113580","NR3C1"
"ENSG00000122884","P4HA1"
"ENSG00000072682","P4HA2"
"ENSG00000145730","PAM"
"ENSG00000124253","PCK1"
"ENSG00000100311","PDGFB"
"ENSG00000152256","PDK1"
"ENSG00000067992","PDK3"
"ENSG00000170525","PFKFB3"
"ENSG00000141959","PFKL"
"ENSG00000067057","PFKP"
"ENSG00000164708","PGAM2"
"ENSG00000119630","PGF"
"ENSG00000102144","PGK1"
"ENSG00000079739","PGM1"
"ENSG00000169299","PGM2"
"ENSG00000164776","PHKG1"
"ENSG00000137193","PIM1"
"ENSG00000143627","PKLR"
"ENSG00000262785","PKLR"
"ENSG00000081277","PKP1"
"ENSG00000145287","PLAC8"
"ENSG00000011422","PLAUR"
"ENSG00000147872","PLIN2"
"ENSG00000146278","PNRC1"
"ENSG00000109819","PPARGC1A"
"ENSG00000143847","PPFIA4"
"ENSG00000087074","PPP1R15A"
"ENSG00000119938","PPP1R3C"
"ENSG00000126432","PRDX5"
"ENSG00000154229","PRKCA"
"ENSG00000170955","PRKCDBP"
"ENSG00000177469","PTRF"
"ENSG00000068976","PYGM"
"ENSG00000168214","RBPJ"
"ENSG00000069667","RORA"
"ENSG00000025039","RRAGD"
"ENSG00000196154","S100A4"
"ENSG00000164105","SAP30"
"ENSG00000073060","SCARB1"
"ENSG00000169439","SDC2"
"ENSG00000162512","SDC3"
"ENSG00000124145","SDC4"
"ENSG00000143416","SELENBP1"
"ENSG00000106366","SERPINE1"
"ENSG00000181788","SIAH2"
"ENSG00000100075","SLC25A1"
"ENSG00000117394","SLC2A1"
"ENSG00000059804","SLC2A3"
"ENSG00000142583","SLC2A5"
"ENSG00000137700","SLC37A4"
"ENSG00000281500","SLC37A4"
"ENSG00000131389","SLC6A6"
"ENSG00000101955","SRPX"
"ENSG00000118804","STBD1"
"ENSG00000159167","STC1"
"ENSG00000113739","STC2"
"ENSG00000088002","SULT2B1"
"ENSG00000135269","TES"
"ENSG00000119699","TGFB3"
"ENSG00000120708","TGFBI"
"ENSG00000198959","TGM2"
"ENSG00000163659","TIPARP"
"ENSG00000007350","TKTL1"
"ENSG00000181458","TMEM45A"
"ENSG00000118503","TNFAIP3"
"ENSG00000146242","TPBG"
"ENSG00000283085","TPBG"
"ENSG00000076554","TPD52"
"ENSG00000111669","TPI1"
"ENSG00000128294","TPST2"
"ENSG00000169764","UGP2"
"ENSG00000112715","VEGFA"
"ENSG00000134086","VHL"
"ENSG00000147852","VLDLR"
"ENSG00000064205","WISP2"
"ENSG00000109046","WSB1"
"ENSG00000108039","XPNPEP1"
"ENSG00000128016","ZFP36"
"ENSG00000188994","ZNF292"
