"ENSG00000159640","ACE"
"ENSG00000111644","ACRBP"
"ENSG00000134940","ACRV1"
"ENSG00000148156","ACTL7B"
"ENSG00000164113","ADAD1"
"ENSG00000104755","ADAM2"
"ENSG00000276286","ADAM2"
"ENSG00000141433","ADCYAP1"
"ENSG00000173744","AGFG1"
"ENSG00000147081","AKAP4"
"ENSG00000161905","ALOX15"
"ENSG00000122644","ARL4A"
"ENSG00000156219","ART3"
"ENSG00000087586","AURKA"
"ENSG00000157764","BRAF"
"ENSG00000169679","BUB1"
"ENSG00000152495","CAMK4"
"ENSG00000133101","CCNA1"
"ENSG00000157456","CCNB2"
"ENSG00000132141","CCT6B"
"ENSG00000170312","CDK1"
"ENSG00000100526","CDKN3"
"ENSG00000001626","CFTR"
"ENSG00000072609","CHFR"
"ENSG00000180720","CHRM4"
"ENSG00000153132","CLGN"
"ENSG00000162129","CLPB"
"ENSG00000177182","CLVS1"
"ENSG00000174871","CNIH2"
"ENSG00000121058","COIL"
"ENSG00000124490","CRISP2"
"ENSG00000070770","CSNK2A2"
"ENSG00000125815","CST8"
"ENSG00000006634","DBF4"
"ENSG00000187323","DCC"
"ENSG00000109832","DDX25"
"ENSG00000152670","DDX4"
"ENSG00000100206","DMC1"
"ENSG00000137090","DMRT1"
"ENSG00000179407","DNAJB8"
"ENSG00000141096","DPEP3"
"ENSG00000119915","ELOVL3"
"ENSG00000106462","EZH2"
"ENSG00000128683","GAD1"
"ENSG00000105679","GAPDHS"
"ENSG00000162676","GFI1"
"ENSG00000087338","GMCL1"
"ENSG00000166856","GPR182"
"ENSG00000179603","GRM8"
"ENSG00000111305","GSG1"
"ENSG00000134202","GSTM3"
"ENSG00000130656","HBZ"
"ENSG00000187475","HIST1H1T"
"ENSG00000120094","HOXB1"
"ENSG00000204390","HSPA1L"
"ENSG00000206383","HSPA1L"
"ENSG00000226704","HSPA1L"
"ENSG00000234258","HSPA1L"
"ENSG00000236251","HSPA1L"
"ENSG00000126803","HSPA2"
"ENSG00000164070","HSPA4L"
"ENSG00000157219","HTR5A"
"ENSG00000119912","IDE"
"ENSG00000032742","IFT88"
"ENSG00000081985","IL12RB2"
"ENSG00000123496","IL13RA2"
"ENSG00000176095","IP6K1"
"ENSG00000166086","JAM3"
"ENSG00000142945","KIF2C"
"ENSG00000166796","LDHC"
"ENSG00000134324","LPIN1"
"ENSG00000135525","MAP7"
"ENSG00000086015","MAST2"
"ENSG00000141434","MEP1B"
"ENSG00000178053","MLF1"
"ENSG00000078403","MLLT10"
"ENSG00000168412","MTNR1A"
"ENSG00000198793","MTOR"
"ENSG00000156269","NAA11"
"ENSG00000121152","NCAPH"
"ENSG00000100285","NEFH"
"ENSG00000117650","NEK2"
"ENSG00000186575","NF2"
"ENSG00000089250","NOS1"
"ENSG00000144061","NPHP1"
"ENSG00000164129","NPY5R"
"ENSG00000143450","OAZ3"
"ENSG00000155087","ODF1"
"ENSG00000112530","PACRG"
"ENSG00000218823","PAPOLB"
"ENSG00000129484","PARP2"
"ENSG00000102109","PCSK1N"
"ENSG00000115257","PCSK4"
"ENSG00000163114","PDHA2"
"ENSG00000089220","PEBP1"
"ENSG00000170950","PGK2"
"ENSG00000087157","PGS1"
"ENSG00000010318","PHF7"
"ENSG00000156873","PHKG2"
"ENSG00000078043","PIAS2"
"ENSG00000115138","POMC"
"ENSG00000114302","PRKAR2A"
"ENSG00000122304","PRM2"
"ENSG00000183527","PSMG1"
"ENSG00000152942","RAD17"
"ENSG00000276618","RAD17"
"ENSG00000163918","RFC4"
"ENSG00000163923","RPL39L"
"ENSG00000104112","SCG3"
"ENSG00000166922","SCG5"
"ENSG00000277614","SCG5"
"ENSG00000281931","SCG5"
"ENSG00000108387","SEPT4"
"ENSG00000169291","SHE"
"ENSG00000096717","SIRT1"
"ENSG00000064651","SLC12A2"
"ENSG00000142583","SLC2A5"
"ENSG00000065609","SNAP91"
"ENSG00000132122","SPATA6"
"ENSG00000115145","STAM2"
"ENSG00000165209","STRBP"
"ENSG00000198765","SYCP1"
"ENSG00000177156","TALDO1"
"ENSG00000124678","TCP11"
"ENSG00000092850","TEKT2"
"ENSG00000105549","THEG"
"ENSG00000007350","TKTL1"
"ENSG00000106829","TLE4"
"ENSG00000129991","TNNI3"
"ENSG00000118245","TNP1"
"ENSG00000178279","TNP2"
"ENSG00000163781","TOPBP1"
"ENSG00000211460","TSN"
"ENSG00000206203","TSSK2"
"ENSG00000112742","TTK"
"ENSG00000198033","TUBA3C"
"ENSG00000104804","TULP2"
"ENSG00000078668","VDAC3"
"ENSG00000006047","YBX2"
"ENSG00000100722","ZC3H14"
"ENSG00000105428","ZNRF4"
"ENSG00000042813","ZPBP"
