"ENSG00000115657","ABCB6"
"ENSG00000170425","ADORA2B"
"ENSG00000162688","AGL"
"ENSG00000188157","AGRN"
"ENSG00000147853","AK3"
"ENSG00000162433","AK4"
"ENSG00000117448","AKR1A1"
"ENSG00000164904","ALDH7A1"
"ENSG00000143149","ALDH9A1"
"ENSG00000149925","ALDOA"
"ENSG00000136872","ALDOB"
"ENSG00000033011","ALG1"
"ENSG00000214274","ANG"
"ENSG00000167772","ANGPTL4"
"ENSG00000163516","ANKZF1"
"ENSG00000128989","ARPP19"
"ENSG00000117407","ARTN"
"ENSG00000087586","AURKA"
"ENSG00000176022","B3GALT6"
"ENSG00000109956","B3GAT1"
"ENSG00000149541","B3GAT3"
"ENSG00000179913","B3GNT3"
"ENSG00000086062","B4GALT1"
"ENSG00000117411","B4GALT2"
"ENSG00000121578","B4GALT4"
"ENSG00000027847","B4GALT7"
"ENSG00000100290","BIK"
"ENSG00000162813","BPNT1"
"ENSG00000196557","CACNA1H"
"ENSG00000149260","CAPN5"
"ENSG00000138794","CASP6"
"ENSG00000026508","CD44"
"ENSG00000170312","CDK1"
"ENSG00000115163","CENPA"
"ENSG00000123989","CHPF"
"ENSG00000033100","CHPF2"
"ENSG00000175264","CHST1"
"ENSG00000136213","CHST12"
"ENSG00000175040","CHST2"
"ENSG00000140835","CHST4"
"ENSG00000183196","CHST6"
"ENSG00000164442","CITED2"
"ENSG00000165215","CLDN3"
"ENSG00000213937","CLDN9"
"ENSG00000128973","CLN6"
"ENSG00000135775","COG2"
"ENSG00000130635","COL5A1"
"ENSG00000184432","COPB2"
"ENSG00000116761","CTH"
"ENSG00000121966","CXCR4"
"ENSG00000166347","CYB5A"
"ENSG00000011465","DCN"
"ENSG00000168209","DDIT4"
"ENSG00000024526","DEPDC1"
"ENSG00000091140","DLD"
"ENSG00000151640","DPYSL4"
"ENSG00000134755","DSC2"
"ENSG00000122882","ECD"
"ENSG00000143590","EFNA3"
"ENSG00000146648","EGFR"
"ENSG00000129521","EGLN3"
"ENSG00000163435","ELF3"
"ENSG00000074800","ENO1"
"ENSG00000111674","ENO2"
"ENSG00000182197","EXT1"
"ENSG00000151348","EXT2"
"ENSG00000114023","FAM162A"
"ENSG00000130957","FBP2"
"ENSG00000004478","FKBP4"
"ENSG00000033170","FUT8"
"ENSG00000160211","G6PD"
"ENSG00000128242","GAL3ST1"
"ENSG00000117308","GALE"
"ENSG00000108479","GALK1"
"ENSG00000156958","GALK2"
"ENSG00000105679","GAPDHS"
"ENSG00000001084","GCLC"
"ENSG00000198380","GFPT1"
"ENSG00000138604","GLCE"
"ENSG00000173221","GLRX"
"ENSG00000144591","GMPPA"
"ENSG00000173540","GMPPB"
"ENSG00000159921","GNE"
"ENSG00000113552","GNPDA1"
"ENSG00000120053","GOT1"
"ENSG00000125166","GOT2"
"ENSG00000063660","GPC1"
"ENSG00000147257","GPC3"
"ENSG00000076716","GPC4"
"ENSG00000138271","GPR87"
"ENSG00000169919","GUSB"
"ENSG00000104812","GYS1"
"ENSG00000111713","GYS2"
"ENSG00000143575","HAX1"
"ENSG00000115677","HDLBP"
