"ENSG00000099204","ABLIM1"
"ENSG00000087085","ACHE"
"ENSG00000151726","ACSL1"
"ENSG00000143632","ACTA1"
"ENSG00000159251","ACTC1"
"ENSG00000077522","ACTN2"
"ENSG00000248746","ACTN3"
"ENSG00000148848","ADAM12"
"ENSG00000162104","ADCY9"
"ENSG00000106624","AEBP1"
"ENSG00000162688","AGL"
"ENSG00000188157","AGRN"
"ENSG00000106992","AK1"
"ENSG00000105221","AKT2"
"ENSG00000165887","ANKRD2"
"ENSG00000134817","APLNR"
"ENSG00000189058","APOD"
"ENSG00000142192","APP"
"ENSG00000196296","ATP2A1"
"ENSG00000071553","ATP6AP1"
"ENSG00000107262","BAG1"
"ENSG00000168398","BDKRB2"
"ENSG00000134107","BHLHE40"
"ENSG00000136717","BIN1"
"ENSG00000196557","CACNA1H"
"ENSG00000108878","CACNG1"
"ENSG00000058404","CAMK2B"
"ENSG00000143318","CASQ1"
"ENSG00000118729","CASQ2"
"ENSG00000182533","CAV3"
"ENSG00000135218","CD36"
"ENSG00000140945","CDH13"
"ENSG00000124762","CDKN1A"
"ENSG00000197766","CFD"
"ENSG00000274619","CFD"
"ENSG00000138435","CHRNA1"
"ENSG00000170175","CHRNB1"
"ENSG00000196811","CHRNG"
"ENSG00000166165","CKB"
"ENSG00000104879","CKM"
"ENSG00000131730","CKMT2"
"ENSG00000120885","CLU"
"ENSG00000117519","CNN3"
"ENSG00000204291","COL15A1"
"ENSG00000108821","COL1A1"
"ENSG00000168542","COL3A1"
"ENSG00000134871","COL4A2"
"ENSG00000142173","COL6A2"
"ENSG00000163359","COL6A3"
"ENSG00000156885","COX6A2"
"ENSG00000161281","COX7A1"
"ENSG00000095321","CRAT"
"ENSG00000109846","CRYAB"
"ENSG00000129170","CSRP3"
"ENSG00000150281","CTF1"
"ENSG00000035664","DAPK2"
"ENSG00000175084","DES"
"ENSG00000198947","DMD"
"ENSG00000104936","DMPK"
"ENSG00000134769","DTNA"
"ENSG00000100842","EFS"
"ENSG00000156976","EIF4A2"
"ENSG00000108515","ENO3"
"ENSG00000182580","EPHB3"
"ENSG00000065361","ERBB3"
"ENSG00000121769","FABP3"
"ENSG00000160752","FDPS"
"ENSG00000138685","FGF2"
"ENSG00000022267","FHL1"
"ENSG00000119782","FKBP1B"
"ENSG00000177731","FLII"
