"ENSG00000183044","ABAT"
"ENSG00000114770","ABCC5"
"ENSG00000100439","ABHD4"
"ENSG00000135503","ACVR1B"
"ENSG00000196839","ADA"
"ENSG00000181026","AEN"
"ENSG00000106992","AK1"
"ENSG00000179593","ALOX15B"
"ENSG00000164331","ANKRA2"
"ENSG00000120868","APAF1"
"ENSG00000142192","APP"
"ENSG00000162772","ATF3"
"ENSG00000175866","BAIAP2"
"ENSG00000030110","BAK1"
"ENSG00000087088","BAX"
"ENSG00000166619","BLCAP"
"ENSG00000125845","BMP2"
"ENSG00000133639","BTG1"
"ENSG00000159388","BTG2"
"ENSG00000137752","CASP1"
"ENSG00000118971","CCND2"
"ENSG00000112576","CCND3"
"ENSG00000113328","CCNG1"
"ENSG00000090061","CCNK"
"ENSG00000103540","CCP110"
"ENSG00000110651","CD81"
"ENSG00000085117","CD82"
"ENSG00000140945","CDH13"
"ENSG00000176749","CDK5R1"
"ENSG00000124762","CDKN1A"
"ENSG00000147889","CDKN2A"
"ENSG00000168564","CDKN2AIP"
"ENSG00000147883","CDKN2B"
"ENSG00000245848","CEBPA"
"ENSG00000100532","CGRRF1"
"ENSG00000137975","CLCA2"
"ENSG00000110925","CSRNP2"
"ENSG00000117984","CTSD"
"ENSG00000174080","CTSF"
"ENSG00000055163","CYFIP2"
"ENSG00000169738","DCXR"
"ENSG00000134574","DDB2"
"ENSG00000175197","DDIT3"
"ENSG00000168209","DDIT4"
"ENSG00000023892","DEF6"
"ENSG00000065357","DGKA"
"ENSG00000067334","DNTTIP2"
"ENSG00000136048","DRAM1"
"ENSG00000149547","EI24"
"ENSG00000142627","EPHA2"
"ENSG00000143819","EPHX1"
"ENSG00000177106","EPS8L2"
"ENSG00000134899","ERCC5"
"ENSG00000181104","F2R"
"ENSG00000114023","FAM162A"
"ENSG00000026103","FAS"
"ENSG00000109670","FBXW7"
"ENSG00000161513","FDXR"
"ENSG00000129682","FGF13"
"ENSG00000170345","FOS"
"ENSG00000118689","FOXO3"
"ENSG00000179163","FUCA1"
"ENSG00000116717","GADD45A"
"ENSG00000135423","GLS2"
"ENSG00000196743","GM2A"
"ENSG00000176153","GPX2"
"ENSG00000246705","H2AFJ"
"ENSG00000113070","HBEGF"
"ENSG00000171720","HDAC3"
"ENSG00000186834","HEXIM1"
"ENSG00000169567","HINT1"
"ENSG00000187837","HIST1H1C"
"ENSG00000181218","HIST3H2A"
"ENSG00000100292","HMOX1"
"ENSG00000174775","HRAS"
"ENSG00000276536","HRAS"
"ENSG00000164070","HSPA4L"
"ENSG00000137331","IER3"
"ENSG00000206478","IER3"
"ENSG00000227231","IER3"
"ENSG00000230128","IER3"
"ENSG00000235030","IER3"
"ENSG00000237155","IER3"
"ENSG00000162783","IER5"
"ENSG00000216490","IFI30"
"ENSG00000070061","IKBKAP"
"ENSG00000115008","IL1A"
"ENSG00000163083","INHBB"
"ENSG00000068745","IP6K2"
"ENSG00000184216","IRAK1"
"ENSG00000136003","ISCU"
