"ENSG00000167972","ABCA3"
"ENSG00000140526","ABHD2"
"ENSG00000168306","ACOX2"
"ENSG00000148700","ADD3"
"ENSG00000172493","AFF1"
"ENSG00000106541","AGR2"
"ENSG00000072210","ALDH3A2"
"ENSG00000006534","ALDH3B1"
"ENSG00000159461","AMFR"
"ENSG00000143412","ANXA9"
"ENSG00000109321","AREG"
"ENSG00000138175","ARL3"
"ENSG00000139352","ASCL1"
"ENSG00000130707","ASS1"
"ENSG00000058668","ATP2B4"
"ENSG00000107262","BAG1"
"ENSG00000156127","BATF"
"ENSG00000171791","BCL2"
"ENSG00000090013","BLVRB"
"ENSG00000154640","BTG3"
"ENSG00000281484","BTG3"
"ENSG00000074410","CA12"
"ENSG00000104267","CA2"
"ENSG00000007402","CACNA2D2"
"ENSG00000004948","CALCR"
"ENSG00000105974","CAV1"
"ENSG00000133101","CCNA1"
"ENSG00000110092","CCND1"
"ENSG00000026508","CD44"
"ENSG00000010278","CD9"
"ENSG00000117399","CDC20"
"ENSG00000094804","CDC6"
"ENSG00000039068","CDH1"
"ENSG00000143126","CELSR2"
"ENSG00000111666","CHPT1"
"ENSG00000124302","CHST8"
"ENSG00000114737","CISH"
"ENSG00000166165","CKB"
"ENSG00000169583","CLIC3"
"ENSG00000164919","COX6C"
"ENSG00000109472","CPE"
"ENSG00000107562","CXCL12"
"ENSG00000145824","CXCL14"
"ENSG00000003137","CYP26B1"
"ENSG00000171903","CYP4F11"
"ENSG00000169738","DCXR"
"ENSG00000172893","DHCR7"
"ENSG00000100867","DHRS2"
"ENSG00000151208","DLG5"
"ENSG00000274429","DLG5"
"ENSG00000136770","DNAJC1"
"ENSG00000108176","DNAJC12"
"ENSG00000158050","DUSP2"
"ENSG00000165169","DYNLT3"
"ENSG00000179388","EGR3"
"ENSG00000012660","ELOVL5"
"ENSG00000213853","EMP2"
"ENSG00000105379","ETFB"
"ENSG00000164687","FABP5"
"ENSG00000167106","FAM102A"
"ENSG00000152767","FARP1"
"ENSG00000079459","FDFT1"
"ENSG00000068078","FGFR3"
"ENSG00000004478","FKBP4"
"ENSG00000096060","FKBP5"
"ENSG00000136068","FLNB"
"ENSG00000170345","FOS"
"ENSG00000054598","FOXC1"
"ENSG00000111816","FRK"
"ENSG00000069482","GAL"
"ENSG00000117308","GALE"
"ENSG00000131153","GINS2"
"ENSG00000188910","GJB3"
"ENSG00000102393","GLA"
"ENSG00000134240","HMGCS2"
"ENSG00000103942","HOMER2"
"ENSG00000165704","HPRT1"
"ENSG00000168453","HR"
"ENSG00000164070","HSPA4L"
"ENSG00000152137","HSPB8"
"ENSG00000115738","ID2"
"ENSG00000182054","IDH2"
"ENSG00000141753","IGFBP4"
"ENSG00000147255","IGSF1"
"ENSG00000056736","IL17RB"
"ENSG00000134352","IL6ST"
"ENSG00000141401","IMPA2"
"ENSG00000172183","ISG20"
"ENSG00000100605","ITPK1"
"ENSG00000274958","ITPK1"
"ENSG00000162434","JAK1"
"ENSG00000096968","JAK2"
"ENSG00000164626","KCNK5"
"ENSG00000112984","KIF20A"
"ENSG00000136826","KLF4"
"ENSG00000129451","KLK10"
"ENSG00000167757","KLK11"
"ENSG00000171401","KRT13"
"ENSG00000171345","KRT19"
"ENSG00000058085","LAMC2"
"ENSG00000073350","LLGL2"
"ENSG00000105699","LSR"
"ENSG00000012223","LTF"
"ENSG00000156711","MAPK13"
"ENSG00000186868","MAPT"
"ENSG00000276155","MAPT"
"ENSG00000277956","MAPT"
"ENSG00000110492","MDK"
"ENSG00000106484","MEST"
"ENSG00000165819","METTL3"
"ENSG00000204516","MICB"
"ENSG00000206449","MICB"
"ENSG00000224378","MICB"
"ENSG00000227772","MICB"
"ENSG00000231179","MICB"
"ENSG00000231372","MICB"
"ENSG00000234218","MICB"
"ENSG00000238289","MICB"
"ENSG00000164172","MOCS2"
"ENSG00000118513","MYB"
"ENSG00000138119","MYOF"
"ENSG00000166886","NAB2"
"ENSG00000158747","NBL1"
"ENSG00000196498","NCOR2"
"ENSG00000109255","NMU"
"ENSG00000164128","NPY1R"
"ENSG00000180530","NRIP1"
"ENSG00000132661","NXT1"
"ENSG00000130558","OLFM1"
"ENSG00000054277","OPN3"
"ENSG00000125850","OVOL2"
"ENSG00000198682","PAPSS2"
"ENSG00000183036","PCP4"
"ENSG00000150593","PDCD4"
"ENSG00000154553","PDLIM3"
"ENSG00000174827","PDZK1"
"ENSG00000112378","PERP"
"ENSG00000082175","PGR"
"ENSG00000184363","PKP3"
"ENSG00000176485","PLA2G16"
"ENSG00000170965","PLAC1"
"ENSG00000142731","PLK4"
"ENSG00000164050","PLXNB1"
"ENSG00000108179","PPIF"
"ENSG00000005249","PRKAR2B"
"ENSG00000113494","PRLR"
"ENSG00000150687","PRSS23"
"ENSG00000050628","PTGER3"
"ENSG00000148344","PTGES"
"ENSG00000111679","PTPN6"
"ENSG00000168461","RAB31"
"ENSG00000029725","RABEP1"
"ENSG00000108352","RAPGEFL1"
"ENSG00000101773","RBBP8"
"ENSG00000165731","RET"
"ENSG00000104889","RNASEH2A"
"ENSG00000071242","RPS6KA2"
"ENSG00000163220","S100A9"
"ENSG00000073060","SCARB1"
"ENSG00000111319","SCNN1A"
"ENSG00000175356","SCUBE2"
"ENSG00000012171","SEMA3B"
"ENSG00000197249","SERPINA1"
"ENSG00000277377","SERPINA1"
"ENSG00000196136","SERPINA3"
"ENSG00000273259","SERPINA3"
"ENSG00000188488","SERPINA5"
"ENSG00000175793","SFN"
"ENSG00000118515","SGK1"
"ENSG00000181788","SIAH2"
"ENSG00000155380","SLC16A1"
"ENSG00000281917","SLC16A1"
"ENSG00000115902","SLC1A4"
"ENSG00000197375","SLC22A5"
"ENSG00000185052","SLC24A3"
"ENSG00000155850","SLC26A2"
"ENSG00000140284","SLC27A2"
"ENSG00000112759","SLC29A1"
"ENSG00000136856","SLC2A8"
"ENSG00000103257","SLC7A5"
"ENSG00000109062","SLC9A3R1"
"ENSG00000086300","SNX10"
"ENSG00000140263","SORD"
"ENSG00000134595","SOX3"
"ENSG00000149418","ST14"
"ENSG00000070731","ST6GALNAC2"
"ENSG00000123473","STIL"
"ENSG00000088002","SULT2B1"
"ENSG00000087510","TFAP2C"
"ENSG00000160182","TFF1"
"ENSG00000160180","TFF3"
"ENSG00000105825","TFPI2"
"ENSG00000180176","TH"
"ENSG00000156299","TIAM1"
"ENSG00000105289","TJP3"
"ENSG00000160183","TMPRSS3"
"ENSG00000114854","TNNC1"
"ENSG00000141232","TOB1"
"ENSG00000131747","TOP2A"
"ENSG00000146242","TPBG"
"ENSG00000283085","TPBG"
"ENSG00000111907","TPD52L1"
"ENSG00000172236","TPSAB1"
"ENSG00000137699","TRIM29"
"ENSG00000106537","TSPAN13"
"ENSG00000128311","TST"
"ENSG00000104522","TSTA3"
"ENSG00000278243","TSTA3"
"ENSG00000109814","UGDH"
"ENSG00000198722","UNC13B"
"ENSG00000109501","WFS1"
"ENSG00000064205","WISP2"
"ENSG00000100219","XBP1"
"ENSG00000126215","XRCC3"
"ENSG00000128016","ZFP36"
