"ENSG00000136754","ABI1"
"ENSG00000097007","ABL1"
"ENSG00000159842","ABR"
"ENSG00000276016","ABR"
"ENSG00000278741","ABR"
"ENSG00000130402","ACTN4"
"ENSG00000282844","ACTN4"
"ENSG00000170776","AKAP13"
"ENSG00000116127","ALMS1"
"ENSG00000003393","ALS2"
"ENSG00000011426","ANLN"
"ENSG00000134982","APC"
"ENSG00000120318","ARAP3"
"ENSG00000165527","ARF6"
"ENSG00000066777","ARFGEF1"
"ENSG00000132254","ARFIP2"
"ENSG00000071205","ARHGAP10"
"ENSG00000159314","ARHGAP27"
"ENSG00000276836","ARHGAP27"
"ENSG00000276907","ARHGAP27"
"ENSG00000137962","ARHGAP29"
"ENSG00000089820","ARHGAP4"
"ENSG00000100852","ARHGAP5"
"ENSG00000141522","ARHGDIA"
"ENSG00000132694","ARHGEF11"
"ENSG00000196914","ARHGEF12"
"ENSG00000116584","ARHGEF2"
"ENSG00000163947","ARHGEF3"
"ENSG00000102606","ARHGEF7"
"ENSG00000143862","ARL8A"
"ENSG00000168397","ATG4B"
"ENSG00000087586","AURKA"
"ENSG00000050820","BCAR1"
"ENSG00000153094","BCL2L11"
"ENSG00000186716","BCR"
"ENSG00000136717","BIN1"
"ENSG00000089685","BIRC5"
"ENSG00000139618","BRCA2"
"ENSG00000169679","BUB1"
"ENSG00000077549","CAPZB"
"ENSG00000115355","CCDC88A"
"ENSG00000157456","CCNB2"
"ENSG00000198087","CD2AP"
"ENSG00000004897","CDC27"
"ENSG00000070831","CDC42"
"ENSG00000143776","CDC42BPA"
"ENSG00000128283","CDC42EP1"
"ENSG00000149798","CDC42EP2"
"ENSG00000179604","CDC42EP4"
"ENSG00000170312","CDK1"
"ENSG00000136861","CDK5RAP2"
"ENSG00000138778","CENPE"
"ENSG00000117724","CENPF"
"ENSG00000151849","CENPJ"
"ENSG00000101639","CEP192"
"ENSG00000126001","CEP250"
"ENSG00000166037","CEP57"
"ENSG00000112877","CEP72"
"ENSG00000280688","CEP72"
"ENSG00000175216","CKAP5"
"ENSG00000074054","CLASP1"
"ENSG00000130779","CLIP1"
"ENSG00000106665","CLIP2"
"ENSG00000119397","CNTRL"
"ENSG00000170037","CNTROB"
"ENSG00000179979","CRIPAK"
"ENSG00000141551","CSNK1D"
"ENSG00000085733","CTTN"
"ENSG00000105443","CYTH2"
"ENSG00000075711","DLG1"
"ENSG00000126787","DLGAP5"
"ENSG00000134516","DOCK2"
"ENSG00000128512","DOCK4"
"ENSG00000151914","DST"
"ENSG00000197102","DYNC1H1"
"ENSG00000264364","DYNLL2"
"ENSG00000114346","ECT2"
"ENSG00000159023","EPB41"
"ENSG00000079819","EPB41L2"
"ENSG00000135476","ESPL1"
"ENSG00000092820","EZR"
"ENSG00000152767","FARP1"
"ENSG00000112029","FBXO5"
"ENSG00000139132","FGD4"
"ENSG00000180263","FGD6"
"ENSG00000196924","FLNA"
"ENSG00000136068","FLNB"
"ENSG00000075618","FSCN1"
"ENSG00000179409","GEMIN4"
"ENSG00000148180","GSN"
"ENSG00000094631","HDAC6"
"ENSG00000168172","HOOK3"
"ENSG00000149503","INCENP"
"ENSG00000205726","ITSN1"
"ENSG00000186625","KATNA1"
"ENSG00000140854","KATNB1"
"ENSG00000138160","KIF11"
"ENSG00000163808","KIF15"
"ENSG00000280610","KIF15"
"ENSG00000054523","KIF1B"
"ENSG00000138182","KIF20B"
"ENSG00000079616","KIF22"
"ENSG00000137807","KIF23"
"ENSG00000142945","KIF2C"
"ENSG00000101350","KIF3B"
"ENSG00000084731","KIF3C"
"ENSG00000090889","KIF4A"
"ENSG00000170759","KIF5B"
"ENSG00000075945","KIFAP3"
"ENSG00000126214","KLC1"
"ENSG00000184445","KNTC1"
"ENSG00000118162","KPTN"
"ENSG00000131023","LATS1"
"ENSG00000131899","LLGL1"
"ENSG00000113368","LMNB1"
"ENSG00000138095","LRPPRC"
"ENSG00000130479","MAP1S"
"ENSG00000173327","MAP3K11"
"ENSG00000101367","MAPRE1"
"ENSG00000277443","MARCKS"
"ENSG00000007047","MARK4"
"ENSG00000101871","MID1"
"ENSG00000165175","MID1IP1"
"ENSG00000133026","MYH10"
"ENSG00000100345","MYH9"
"ENSG00000157483","MYO1E"
"ENSG00000099331","MYO9B"
"ENSG00000158092","NCK1"
"ENSG00000071051","NCK2"
"ENSG00000080986","NDC80"
"ENSG00000111859","NEDD9"
"ENSG00000117650","NEK2"
"ENSG00000173848","NET1"
"ENSG00000196712","NF1"
"ENSG00000100503","NIN"
"ENSG00000134250","NOTCH2"
"ENSG00000137497","NUMA1"
"ENSG00000137804","NUSAP1"
"ENSG00000079482","OPHN1"
"ENSG00000007168","PAFAH1B1"
"ENSG00000129116","PALLD"
"ENSG00000180628","PCGF5"
"ENSG00000078674","PCM1"
"ENSG00000160299","PCNT"
"ENSG00000163110","PDLIM5"
